Country,Region,Population,Area,PopDensity,Coastline,NetMigration,InfantMortality,GDP,Literacy,Arable,Crops,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Australia ,OCEANIA                            ,20264082,7686850,2.6,0.34,3.98,4.69,29000,100,6.55,0.04,1,12.14,7.51,0.038,0.262,0.7
Austria ,WESTERN EUROPE                     ,8192880,83870,97.7,0,2,4.66,30000,98,16.91,0.86,3,8.74,9.76,0.018,0.304,0.678
Belgium ,WESTERN EUROPE                     ,10379067,30528,340,0.22,1.23,4.68,29100,98,23.28,0.4,3,10.38,10.27,0.01,0.24,0.749
Canada ,NORTHERN AMERICA                   ,33098932,9984670,3.3,2.02,5.96,4.75,29800,97,4.96,0.02,,10.78,7.8,0.022,0.294,0.684
Denmark ,WESTERN EUROPE                     ,5450661,43094,126.5,16.97,2.48,4.56,31100,100,54.02,0.19,3,11.13,10.36,0.018,0.246,0.735
Finland ,WESTERN EUROPE                     ,5231372,338145,15.5,0.37,0.95,3.57,27400,100,7.19,0.03,3,10.45,9.86,0.028,0.295,0.676
France ,WESTERN EUROPE                     ,60876136,547030,111.3,0.63,0.66,4.26,27600,99,33.53,2.07,4,11.99,9.14,0.022,0.214,0.764
Germany ,WESTERN EUROPE                     ,82422299,357021,230.9,0.67,2.18,4.16,27600,99,33.85,0.59,3,8.25,10.62,0.009,0.296,0.695
Iceland ,WESTERN EUROPE                     ,299388,103000,2.9,4.83,2.38,3.31,30900,99.9,0.07,0,3,13.64,6.72,0.086,0.15,0.765
Ireland ,WESTERN EUROPE                     ,4062235,70280,57.8,2.06,4.99,5.39,29600,98,15.2,0.03,3,14.45,7.82,0.05,0.46,0.49
Israel ,NEAR EAST                          ,6352117,20770,305.8,1.31,0.68,7.03,19800,95.4,16.39,4.17,3,17.97,6.18,0.026,0.317,0.657
Italy ,WESTERN EUROPE                     ,58133509,301230,193,2.52,2.07,5.94,26700,98.6,27.79,9.53,,8.72,10.4,0.021,0.291,0.688
Japan ,ASIA (EX. NEAR EAST)         ,127463611,377835,337.4,7.87,0,3.26,28200,99,12.19,0.96,3,9.37,9.16,0.017,0.258,0.725
Korea. South ,ASIA (EX. NEAR EAST)         ,48846823,98480,496,2.45,0,7.05,17800,97.9,17.18,1.95,3,10,5.85,0.033,0.403,0.563
Luxembourg ,WESTERN EUROPE                     ,474413,2586,183.5,0,8.97,4.81,55100,100,23.28,0.4,,11.94,8.41,0.01,0.13,0.86
Netherlands ,WESTERN EUROPE                     ,16491461,41526,397.1,1.09,2.91,5.04,28600,99,26.71,0.97,3,10.9,8.68,0.021,0.244,0.736
New Zealand ,OCEANIA                            ,4076140,268680,15.2,5.63,4.05,5.85,21600,99,5.6,6.99,3,13.76,7.53,0.043,0.273,0.684
Norway ,WESTERN EUROPE                     ,4610820,323802,14.2,7.77,1.74,3.7,37800,100,2.87,0,3,11.46,9.4,0.021,0.415,0.564
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,693,6482.2,27.85,11.53,2.29,23700,92.5,1.64,0,2,9.34,4.28,0,0.339,0.661
Spain ,WESTERN EUROPE                     ,40397842,504782,80,0.98,0.99,4.42,22000,97.9,26.07,9.87,3,10.06,9.72,0.04,0.295,0.665
Sweden ,WESTERN EUROPE                     ,9016596,449964,20,0.72,1.67,2.77,26800,99,6.54,0.01,3,10.27,10.31,0.011,0.282,0.707
Switzerland ,WESTERN EUROPE                     ,7523934,41290,182.2,0,4.05,4.39,32700,99,10.42,0.61,3,9.71,8.49,0.015,0.34,0.645
United Kingdom ,WESTERN EUROPE                     ,60609153,244820,247.6,5.08,2.19,5.16,27700,99,23.46,0.21,3,10.71,10.13,0.005,0.237,0.758
United States ,NORTHERN AMERICA                   ,298444215,9631420,31,0.21,3.41,6.5,37800,97,19.13,0.22,3,14.14,8.26,0.01,0.204,0.787
